Review,Sentiment,Probabilities
"Alhamdulillah.. the best al quran application, easy to use every day and carry anywhere.. I pray that God will bless and reward the developer of this best application.. aamiin yaa rabbal aalamiin😄🤲.. tqvm admin",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"the best quraan app you can find. it literally has word by word translation and a tafsir option, which is very useful for non arab people. this app has NO ADS and is literally FREE, tho there is a donate option for anyone who wants to help. may Allah be pleased with us and help us do sadka jariya",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Very helpful,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
The recent edition does explain the source of suratul alaq,neutral,"{'positive': 0.0001, 'neutral': 0.9999, 'negative': 0.0}"
May Allah reward you richly rewarded,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
I've rate 5 star but the app could give us mor fonts; for example simple font or Othman Taha font.,neutral,"{'positive': 0.0001, 'neutral': 0.9999, 'negative': 0.0}"
"Outstanding apps,Though audio is not working..",negative,"{'positive': 0.0001, 'neutral': 0.0, 'negative': 0.9999}"
This is app is amizing and i really liked,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Good app.,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Masha Allah,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"Linked to this application, thank you",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Very good and easy app,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Best App to read The Holy Quran.. Love it so much....word by word meaning and it's tafsir makes it more helpful to common user....,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Very excited,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
I really enjoy it,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
It was helpful to have a translator.,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Recent update has ruined the app. More glitches. Highlighting and verses don't follow the audio. Please fix to how it was before this recent update.,negative,"{'positive': 0.0001, 'neutral': 0.0, 'negative': 0.9999}"
Masha Allah. This is one of the best Qur'an app i have seen so far. With great features that makes learning and recitation easier.,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
May allah bless and reinforce you,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Fantastic,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
SubhanAllah,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Good app,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
MashAllah Amazing App! Well organised & smooth flow🤍🤍🤍🤍,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Perfect💗,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"5 stars are missing, I give 100 stars!!! I recommend it to everyone, many Arab teachers recommend this program. I think you can download it. 👍👍👍👍👍👍 May God be pleased with you",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Great app,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
I really like this👍,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Very helpful,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"Ma Sha Allah, a great app to learn to read Arabic. Also, each verse of the surah is followed by a tafsir for mental progress. May Allah bless you and your business!",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
It is the most beneficiary app i have seen. jazakallah,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
It is free and has so many functions. I LOVE IT. Jazak Allah! to the developers of this app...,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"Masha Allah very good in translation, it's really nice app",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Thank you very much,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
It's THE BEST,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"Looking at all the good comments, it makes me want to use this Anroit Al-Qur'an even more quickly. May blessings be upon all, amen",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
three good,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Excellent,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
I love the app,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"Great, very helpful",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
This app is very good to every muslim to read and listing and also understand the meaning of verses of qur an may Allh grantu jannatul firdaus thsnk,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
This is the best app to learn Al Quran.,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Best app ever focus on your deen,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Allah bless you with Al Ferdus inshallah for your effort ❤️,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
This is the best app of Quran I have ever seen. NO ADD. EASY TO USE.JUST AMAZING. ALHAMDULILLAH.,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
This is very useful app,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Thank you very much,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Great app,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Million Stars!!!,positive,"{'positive': 0.9547, 'neutral': 0.0452, 'negative': 0.0}"
Alhamdulillah. A very good up,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
It's user friendly and really educational,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"It's my favorite app, but it has been crashing too much over the past month. I'm not sure what happened to it.",negative,"{'positive': 0.0, 'neutral': 0.0, 'negative': 0.9999}"
Alhamdulillah lasers.,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Great app Allah is Great,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Very beneficial and use to use.,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
It's a great app.,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"Alhamdulillah. Much delighted getting such an app. This app will undoubtedly help those who are looking for guidance, peace & satisfaction in a true sense. ""Al Quran ""- complete & perfect code of our life. May Allah protect us from the evils of the devil.",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
better,positive,"{'positive': 0.9999, 'neutral': 0.0, 'negative': 0.0}"
5 stars because this is the best Quran app I've used so far. It has every feature you could want. I appreciate the team for doing such an amazing job!,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"God bless you, wonderful",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Quran. Yes.,neutral,"{'positive': 0.0001, 'neutral': 0.9999, 'negative': 0.0}"
Very very helpful,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"Amazing app, I love this app",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"It is the most versatile, most useful app ever...",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Barokallahu fiikum,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Best,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Ma sha Allah!!,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
This Al Qur'an...it's really beautiful to hear before sleeping..💓💓 Thank you for sharing goodness through this application💖,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Very good app for Quran.But it would be more good if there had a form of Hafizi Quran.,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
I just installed this app and it was really good i was actually surprised for how the app was built. And most important part the app has verryy limited adds.,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
I want to learn the Qur'an,neutral,"{'positive': 0.0001, 'neutral': 0.9999, 'negative': 0.0}"
Kindly plz gave lessons notification daily plz,neutral,"{'positive': 0.0001, 'neutral': 0.9999, 'negative': 0.0}"
Good,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
ossadharon,negative,"{'positive': 0.0001, 'neutral': 0.0, 'negative': 0.9999}"
I've been hoping for a long time. Thank You.,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Very nice program,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
The only broplem that i find is sometimes i can't change the language,negative,"{'positive': 0.0, 'neutral': 0.0, 'negative': 0.9999}"
Thank God,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
May Allah bless you who made this app❤️ Alhamdulillah,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Excellent application,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"Alhamdulliah. This app helps to read and understand the kalam of Allah, the Holy quran. App offers good customization and colored tajweed. May Allah reward the developer with abundance here and hereafter.",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
I advise you to download it,positive,"{'positive': 0.9999, 'neutral': 0.0001, 'negative': 0.0}"
Mashaallah....I read quran from this app regularly Alhamdulillah.,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"Alhamdulilah, may Almighty Allah showers His blessings on the developers of this app (Greentech Apps Foundation) and all Muslim Ummah worldwide.",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Very good application,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Love it,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
❤️,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"One of the best Quran, Tafsir, and Word for Word Translation App! If I could, I'd give this 10 stars. I use this often, InshaAllah. Thank you, developers. Jazak Allah.",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
As salamu aleikum wa rahmatuLLAHi wa barakatuh. Is it also possible to set the phonetic transcription? Jazzakum ALLAHu khairan!,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Excellent Masha Allah ❤️,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Good,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"Great application, it is possible to read the Koran in any language ❤️‍🩹✊🏻",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Love it! May the app developer be rewarded thousands of blessings,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"Very useful App, May Allah bless them who are working hard to develop this.",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"When I go to any surah from bookmark (last read) and play any ayah, page jumped to next page, I have prepared a video from screen recorder but here there is no option to upload",negative,"{'positive': 0.0, 'neutral': 0.0163, 'negative': 0.9837}"
"Very good, Alhamdulilah",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
very good,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Its really a nice. I loved It,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Very good,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Best,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
The app is perfect 💜,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"Excellent application, may God reward you and put it in the balance of your good deeds. For pointing out, there is a slight error by the reader Noureen Al-Siddiq in the form of ants, verse 24, where he said, “Should they not prostrate to God, the One who brings forth what is hidden in the heavens and the earth, and knows what you hide and what you reveal? He said, ‘And He knows what they hide and what they reveal.’ Accept my humble passage and my greetings to all of you.”",neutral,"{'positive': 0.0001, 'neutral': 0.9999, 'negative': 0.0}"
This app is very good for muslims,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"All you could want in one place; Breaks down the Arabic, Keeps track of progress and is free.",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Not satisfied with Urdu translation and font is broken at many places,negative,"{'positive': 0.0001, 'neutral': 0.0, 'negative': 0.9999}"
"Is there anything better than the word of God and supplication to Him? A strong application that deserves support. Give it the best rating and support it, as the effort in it is great and deserves to be continued.",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"A very nice app. This is a good app for those who are Quran readers, who want to know the meaning of each word, who want to know the etymology of words.",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Outstanding Qur'an app I ever used,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Man it's great having this app on your phone📲. Feel like I've life guide in my hands👍🏻💖💖,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"One of the best Quran apps, I have ever used.",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Love it 🥰,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Amazing,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"Beautiful, may God reward you with all the best",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Excellent,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
